"cliente","produto","preco","categoria","quantidade","data","cidade"
4148,"home theater","","TV, Áudio e Vídeo",4,"2024-11-30","Campinas"
4478,"fogao",1500.0,"Eletrodomésticos",2,"2024-07-29","Balneário Camboriú"
537,"smartphone",2000.0,"Smartphones e Acessórios",5,"2024-03-18","Porto Alegre"
5457,"smart tv",4000.0,"TV, Áudio e Vídeo",2,"2026-01-16","Rio de Janeiro"
7917,"teclado","","Informática e Periféricos",2,"2024-07-22","Campinas"
8501,"teclado","","Informática e Periféricos",5,"2026-01-12","Belo Horizonte"
4,"notebook",4000.0,"Informática e Periféricos",3,"2025-06-07","Porto Alegre"
3046,"teclado","","Informática e Periféricos",4,"2024-10-24","São Paulo"
3432,"smart tv",4000.0,"TV, Áudio e Vídeo",2,"2025-02-21","Santos"
8636,"soundbar",1000.0,"TV, Áudio e Vídeo",2,"2024-02-11","Campinas"
2603,"geladeira",5000.0,"Eletrodomésticos",2,"2025-05-30","Florianópolis"
7254,"home theater","","TV, Áudio e Vídeo",4,"2024-03-09","Campinas"
637,"notebook",4000.0,"Informática e Periféricos",5,"2024-03-26","Balneário Camboriú"
8911,"teclado","","Informática e Periféricos",3,"2025-09-25","Campinas"
5009,"ar-condicionado",2500.0,"Eletrodomésticos",1,"2024-03-13","São Paulo"
2126,"fone de ouvido",200.0,"Smartphones e Acessórios",2,"2025-03-24","Campinas"
3282,"carregador",100.0,"Smartphones e Acessórios",4,"2024-12-13","Rio de Janeiro"
1408,"soundbar",1000.0,"TV, Áudio e Vídeo",1,"2025-06-27","Balneário Camboriú"
3342,"fogao",1500.0,"Eletrodomésticos",3,"2024-04-16","Joinville"
7929,"fone de ouvido",200.0,"Smartphones e Acessórios",4,"2024-03-30","Belo Horizonte"
6644,"smartphone",2000.0,"Smartphones e Acessórios",3,"2024-10-30","Santos"
2319,"micro-ondas","","Eletrodomésticos",5,"2024-05-19","Porto Alegre"
9052,"home theater","","TV, Áudio e Vídeo",1,"2024-07-16","Curitiba"
1452,"smart tv",4000.0,"TV, Áudio e Vídeo",1,"2026-01-25","Belo Horizonte"
8058,"chromecast",200.0,"TV, Áudio e Vídeo",4,"2024-03-06","São Paulo"
2353,"fogao",1500.0,"Eletrodomésticos",2,"2024-04-22","Balneário Camboriú"
6260,"fone de ouvido",200.0,"Smartphones e Acessórios",2,"2024-10-29","Santos"
8644,"monitor",1500.0,"Informática e Periféricos",3,"2025-02-19","São Paulo"
1394,"geladeira",5000.0,"Eletrodomésticos",3,"2025-07-20","Santos"
9286,"teclado","","Informática e Periféricos",2,"2026-01-21","Porto Alegre"
1436,"soundbar",1000.0,"TV, Áudio e Vídeo",3,"2025-01-26","Balneário Camboriú"
220,"teclado","","Informática e Periféricos",5,"2025-03-25","Porto Alegre"
2067,"home theater","","TV, Áudio e Vídeo",1,"2025-05-01","Belo Horizonte"
7680,"smartphone",2000.0,"Smartphones e Acessórios",3,"2025-04-14","Rio de Janeiro"
9897,"teclado","","Informática e Periféricos",1,"2024-10-15","Curitiba"
7416,"smartphone",2000.0,"Smartphones e Acessórios",1,"2024-06-17","São Paulo"
6855,"capinha","","Smartphones e Acessórios",2,"2024-06-02","Campinas"
3120,"monitor",1500.0,"Informática e Periféricos",5,"2024-12-07","Florianópolis"
4453,"home theater","","TV, Áudio e Vídeo",4,"2024-11-02","Curitiba"
5229,"mouse",100.0,"Informática e Periféricos",4,"2025-08-17","Campinas"
3085,"smartphone",2000.0,"Smartphones e Acessórios",5,"2025-06-24","Campinas"
3762,"mouse",100.0,"Informática e Periféricos",2,"2024-11-12","Campinas"
2905,"carregador",100.0,"Smartphones e Acessórios",5,"2025-02-10","Florianópolis"
9521,"smartphone",2000.0,"Smartphones e Acessórios",4,"2024-08-05","Curitiba"
4054,"chromecast",200.0,"TV, Áudio e Vídeo",5,"2025-01-30","Rio de Janeiro"
3173,"capinha","","Smartphones e Acessórios",1,"2024-06-02","São Paulo"
3468,"ar-condicionado",2500.0,"Eletrodomésticos",4,"2024-06-26","São Paulo"
6735,"mouse",100.0,"Informática e Periféricos",4,"2024-09-22","São Paulo"
3617,"ar-condicionado",2500.0,"Eletrodomésticos",1,"2025-12-18","Rio de Janeiro"
4570,"notebook",4000.0,"Informática e Periféricos",3,"2025-10-20","Balneário Camboriú"
1928,"smartphone",2000.0,"Smartphones e Acessórios",3,"2024-10-08","Santos"
1044,"capinha","","Smartphones e Acessórios",3,"2025-08-27","Porto Alegre"
9433,"home theater","","TV, Áudio e Vídeo",2,"2025-11-20","Belo Horizonte"
696,"ar-condicionado",2500.0,"Eletrodomésticos",3,"2025-04-17","Curitiba"
7667,"geladeira",5000.0,"Eletrodomésticos",5,"2024-07-11","Belo Horizonte"
206,"monitor",1500.0,"Informática e Periféricos",2,"2025-02-11","Balneário Camboriú"
4325,"fone de ouvido",200.0,"Smartphones e Acessórios",4,"2025-08-29","Santos"
7113,"soundbar",1000.0,"TV, Áudio e Vídeo",1,"2025-01-19","Curitiba"
7986,"geladeira",5000.0,"Eletrodomésticos",3,"2025-05-16","Florianópolis"
5815,"chromecast",200.0,"TV, Áudio e Vídeo",2,"2024-05-08","Florianópolis"
1408,"micro-ondas","","Eletrodomésticos",4,"2024-10-16","Belo Horizonte"
6104,"notebook",4000.0,"Informática e Periféricos",5,"2024-04-21","Porto Alegre"
3504,"micro-ondas","","Eletrodomésticos",1,"2024-02-21","Campinas"
2762,"notebook",4000.0,"Informática e Periféricos",1,"2025-02-09","São Paulo"
5951,"micro-ondas","","Eletrodomésticos",4,"2024-08-27","Florianópolis"
7723,"carregador",100.0,"Smartphones e Acessórios",1,"2024-08-12","Campinas"
7440,"ar-condicionado",2500.0,"Eletrodomésticos",4,"2024-12-13","Rio de Janeiro"
2297,"micro-ondas","","Eletrodomésticos",4,"2024-09-17","Belo Horizonte"
7015,"fone de ouvido",200.0,"Smartphones e Acessórios",4,"2024-08-09","São Paulo"
5030,"notebook",4000.0,"Informática e Periféricos",3,"2025-06-03","Florianópolis"
5500,"monitor",1500.0,"Informática e Periféricos",5,"2024-08-13","Curitiba"
1248,"ar-condicionado",2500.0,"Eletrodomésticos",2,"2025-10-16","Belo Horizonte"
5947,"teclado","","Informática e Periféricos",4,"2024-10-14","Joinville"
4983,"carregador",100.0,"Smartphones e Acessórios",5,"2025-06-13","Porto Alegre"
3241,"chromecast",200.0,"TV, Áudio e Vídeo",2,"2024-10-25","São Paulo"
9907,"fone de ouvido",200.0,"Smartphones e Acessórios",5,"2025-10-02","Florianópolis"
1516,"carregador",100.0,"Smartphones e Acessórios",2,"2025-12-19","Campinas"
6896,"smartwatch",1000.0,"Smartphones e Acessórios",2,"2025-06-05","Campinas"
7575,"fogao",1500.0,"Eletrodomésticos",3,"2024-10-01","Campinas"
60,"ar-condicionado",2500.0,"Eletrodomésticos",1,"2025-07-23","Belo Horizonte"
2177,"mouse",100.0,"Informática e Periféricos",4,"2025-10-15","Rio de Janeiro"
6121,"monitor",1500.0,"Informática e Periféricos",3,"2025-01-15","Belo Horizonte"
4624,"fone de ouvido",200.0,"Smartphones e Acessórios",5,"2026-01-24","Joinville"
7641,"ar-condicionado",2500.0,"Eletrodomésticos",2,"2024-03-15","Porto Alegre"
7800,"smart tv",4000.0,"TV, Áudio e Vídeo",2,"2025-08-09","Balneário Camboriú"
5609,"home theater","","TV, Áudio e Vídeo",4,"2025-08-25","Campinas"
7138,"smartwatch",1000.0,"Smartphones e Acessórios",1,"2025-04-08","Campinas"
1549,"notebook",4000.0,"Informática e Periféricos",5,"2025-12-26","Belo Horizonte"
8602,"monitor",1500.0,"Informática e Periféricos",3,"2025-03-12","Joinville"
5863,"mouse",100.0,"Informática e Periféricos",3,"2025-10-23","Campinas"
6110,"micro-ondas","","Eletrodomésticos",1,"2025-09-08","Campinas"
8287,"geladeira",5000.0,"Eletrodomésticos",2,"2025-04-20","Curitiba"
2482,"carregador",100.0,"Smartphones e Acessórios",5,"2024-02-28","Porto Alegre"
2363,"notebook",4000.0,"Informática e Periféricos",2,"2025-03-03","Belo Horizonte"
2212,"teclado","","Informática e Periféricos",4,"2024-06-20","Porto Alegre"
4680,"smart tv",4000.0,"TV, Áudio e Vídeo",3,"2024-12-10","Belo Horizonte"
805,"notebook",4000.0,"Informática e Periféricos",3,"2025-05-13","Balneário Camboriú"
4579,"monitor",1500.0,"Informática e Periféricos",5,"2025-02-23","Santos"
2648,"teclado","","Informática e Periféricos",4,"2025-01-29","Belo Horizonte"
6065,"smart tv",4000.0,"TV, Áudio e Vídeo",5,"2024-05-19","Porto Alegre"
4983,"smartphone",2000.0,"Smartphones e Acessórios",1,"2024-06-14","Belo Horizonte"
7618,"smartphone",2000.0,"Smartphones e Acessórios",5,"2025-08-23","Curitiba"
2261,"fogao",1500.0,"Eletrodomésticos",2,"2025-04-27","Santos"
2020,"chromecast",200.0,"TV, Áudio e Vídeo",1,"2024-06-15","Balneário Camboriú"
5465,"fogao",1500.0,"Eletrodomésticos",1,"2024-06-09","Balneário Camboriú"
9988,"mouse",100.0,"Informática e Periféricos",1,"2025-04-28","Porto Alegre"
279,"teclado","","Informática e Periféricos",5,"2024-02-12","Joinville"
7830,"monitor",1500.0,"Informática e Periféricos",3,"2024-09-16","São Paulo"
7873,"micro-ondas","","Eletrodomésticos",2,"2025-09-10","Joinville"
5003,"monitor",1500.0,"Informática e Periféricos",4,"2024-06-08","Rio de Janeiro"
8354,"teclado","","Informática e Periféricos",5,"2025-10-18","São Paulo"
873,"home theater","","TV, Áudio e Vídeo",4,"2025-03-11","Santos"
1204,"teclado","","Informática e Periféricos",5,"2024-11-29","Belo Horizonte"
3397,"monitor",1500.0,"Informática e Periféricos",5,"2024-10-15","São Paulo"
8437,"micro-ondas","","Eletrodomésticos",1,"2025-12-03","São Paulo"
9822,"fone de ouvido",200.0,"Smartphones e Acessórios",3,"2024-08-04","Curitiba"
2678,"notebook",4000.0,"Informática e Periféricos",2,"2025-09-17","Rio de Janeiro"
8648,"home theater","","TV, Áudio e Vídeo",5,"2025-07-06","Joinville"
6282,"chromecast",200.0,"TV, Áudio e Vídeo",5,"2025-06-10","Campinas"
7397,"fogao",1500.0,"Eletrodomésticos",1,"2025-07-16","Rio de Janeiro"
4371,"monitor",1500.0,"Informática e Periféricos",1,"2024-02-07","Balneário Camboriú"
6153,"home theater","","TV, Áudio e Vídeo",5,"2024-03-06","Belo Horizonte"
9946,"mouse",100.0,"Informática e Periféricos",5,"2024-05-26","Florianópolis"
4248,"geladeira",5000.0,"Eletrodomésticos",5,"2024-05-14","Curitiba"
9115,"carregador",100.0,"Smartphones e Acessórios",4,"2024-08-23","Santos"
9778,"home theater","","TV, Áudio e Vídeo",3,"2024-05-30","Rio de Janeiro"
9922,"micro-ondas","","Eletrodomésticos",2,"2025-05-12","Porto Alegre"
2591,"notebook",4000.0,"Informática e Periféricos",4,"2025-03-01","Curitiba"
3283,"chromecast",200.0,"TV, Áudio e Vídeo",3,"2024-02-15","Santos"
7704,"mouse",100.0,"Informática e Periféricos",1,"2025-06-07","Porto Alegre"
9072,"fogao",1500.0,"Eletrodomésticos",5,"2024-02-22","Joinville"
2743,"ar-condicionado",2500.0,"Eletrodomésticos",5,"2024-05-10","Campinas"
9422,"ar-condicionado",2500.0,"Eletrodomésticos",4,"2024-02-21","Balneário Camboriú"
2618,"capinha","","Smartphones e Acessórios",4,"2025-10-06","Belo Horizonte"
9670,"smartphone",2000.0,"Smartphones e Acessórios",1,"2025-01-26","Curitiba"
546,"smartwatch",1000.0,"Smartphones e Acessórios",1,"2025-01-13","Joinville"
9971,"teclado","","Informática e Periféricos",5,"2024-07-13","Balneário Camboriú"
9902,"chromecast",200.0,"TV, Áudio e Vídeo",4,"2025-08-29","Joinville"
7687,"home theater","","TV, Áudio e Vídeo",1,"2024-10-18","Balneário Camboriú"
5959,"fone de ouvido",200.0,"Smartphones e Acessórios",4,"2025-11-14","Rio de Janeiro"
8260,"capinha","","Smartphones e Acessórios",1,"2024-02-25","Belo Horizonte"
9742,"capinha","","Smartphones e Acessórios",5,"2025-05-30","Santos"
1482,"monitor",1500.0,"Informática e Periféricos",2,"2025-09-04","Balneário Camboriú"
8564,"smartwatch",1000.0,"Smartphones e Acessórios",3,"2025-11-01","Porto Alegre"
1120,"home theater","","TV, Áudio e Vídeo",2,"2024-05-10","Joinville"
5422,"soundbar",1000.0,"TV, Áudio e Vídeo",4,"2025-02-08","São Paulo"
6038,"smartwatch",1000.0,"Smartphones e Acessórios",2,"2024-12-11","Porto Alegre"
1896,"home theater","","TV, Áudio e Vídeo",2,"2024-11-21","Porto Alegre"
