cliente,produto,preco,categoria,quantidade,data,cidade,Faturamento
2954,notebook,4000.0,Informática e Periféricos,5,31/12/2025,Porto Alegre,20000.0
8361,carregador,100.0,Smartphones e Acessórios,1,31/12/2025,Joinville,100.0
9296,smartphone,2000.0,Smartphones e Acessórios,4,31/12/2025,Curitiba,8000.0
2142,fogao,1500.0,Eletrodomésticos,1,31/12/2025,Curitiba,1500.0
6377,notebook,4000.0,Informática e Periféricos,2,31/12/2025,São Paulo,8000.0
4649,carregador,100.0,Smartphones e Acessórios,4,31/12/2025,Porto Alegre,400.0
2728,geladeira,5000.0,Eletrodomésticos,5,31/12/2025,Porto Alegre,25000.0
4877,smartphone,2000.0,Smartphones e Acessórios,4,31/12/2025,Joinville,8000.0
1661,carregador,100.0,Smartphones e Acessórios,5,31/12/2025,Belo Horizonte,500.0
3899,ar-condicionado,2500.0,Eletrodomésticos,4,31/12/2024,Balneário Camboriú,10000.0
4984,geladeira,5000.0,Eletrodomésticos,5,31/12/2024,Campinas,25000.0
351,soundbar,1000.0,"TV, Áudio e Vídeo",3,31/12/2024,Campinas,3000.0
6770,notebook,4000.0,Informática e Periféricos,5,31/12/2024,Florianópolis,20000.0
7264,smartphone,2000.0,Smartphones e Acessórios,3,31/12/2024,São Paulo,6000.0
2058,mouse,100.0,Informática e Periféricos,3,31/12/2024,Balneário Camboriú,300.0
6222,soundbar,1000.0,"TV, Áudio e Vídeo",4,31/12/2024,São Paulo,4000.0
9126,smart tv,4000.0,"TV, Áudio e Vídeo",5,31/12/2024,Balneário Camboriú,20000.0
236,soundbar,1000.0,"TV, Áudio e Vídeo",1,31/12/2024,Balneário Camboriú,1000.0
4987,smart tv,4000.0,"TV, Áudio e Vídeo",5,31/12/2024,São Paulo,20000.0
5335,mouse,100.0,Informática e Periféricos,3,31/12/2024,São Paulo,300.0
6560,monitor,1500.0,Informática e Periféricos,3,31/12/2024,Balneário Camboriú,4500.0
8114,geladeira,5000.0,Eletrodomésticos,3,31/12/2024,Santos,15000.0
2407,mouse,100.0,Informática e Periféricos,4,31/10/2025,Belo Horizonte,400.0
1126,ar-condicionado,2500.0,Eletrodomésticos,4,31/10/2025,Rio de Janeiro,10000.0
3437,notebook,4000.0,Informática e Periféricos,4,31/10/2025,Curitiba,16000.0
4683,smartphone,2000.0,Smartphones e Acessórios,3,31/10/2025,Santos,6000.0
95,smart tv,4000.0,"TV, Áudio e Vídeo",5,31/10/2025,Florianópolis,20000.0
5493,smart tv,4000.0,"TV, Áudio e Vídeo",1,31/10/2025,Curitiba,4000.0
7540,soundbar,1000.0,"TV, Áudio e Vídeo",3,31/10/2025,Santos,3000.0
9062,chromecast,200.0,"TV, Áudio e Vídeo",5,31/10/2025,Curitiba,1000.0
6419,geladeira,5000.0,Eletrodomésticos,4,31/10/2025,Santos,20000.0
935,smartphone,2000.0,Smartphones e Acessórios,3,31/10/2024,Santos,6000.0
1529,chromecast,200.0,"TV, Áudio e Vídeo",2,31/10/2024,Florianópolis,400.0
7880,ar-condicionado,2500.0,Eletrodomésticos,3,31/10/2024,Balneário Camboriú,7500.0
4773,geladeira,5000.0,Eletrodomésticos,1,31/10/2024,Balneário Camboriú,5000.0
8684,soundbar,1000.0,"TV, Áudio e Vídeo",4,31/10/2024,Balneário Camboriú,4000.0
5205,geladeira,5000.0,Eletrodomésticos,4,31/10/2024,Santos,20000.0
1773,fone de ouvido,200.0,Smartphones e Acessórios,4,31/08/2025,Rio de Janeiro,800.0
176,carregador,100.0,Smartphones e Acessórios,1,31/08/2025,Belo Horizonte,100.0
6749,notebook,4000.0,Informática e Periféricos,5,31/08/2025,Campinas,20000.0
5445,smart tv,4000.0,"TV, Áudio e Vídeo",4,31/08/2025,Joinville,16000.0
7910,smartphone,2000.0,Smartphones e Acessórios,4,31/08/2025,Florianópolis,8000.0
1443,carregador,100.0,Smartphones e Acessórios,1,31/08/2025,Curitiba,100.0
6126,ar-condicionado,2500.0,Eletrodomésticos,4,31/08/2025,Curitiba,10000.0
5947,smart tv,4000.0,"TV, Áudio e Vídeo",3,31/08/2025,Florianópolis,12000.0
2870,notebook,4000.0,Informática e Periféricos,1,31/08/2024,Joinville,4000.0
8299,smart tv,4000.0,"TV, Áudio e Vídeo",2,31/08/2024,São Paulo,8000.0
4296,smartwatch,1000.0,Smartphones e Acessórios,5,31/08/2024,Santos,5000.0
9219,chromecast,200.0,"TV, Áudio e Vídeo",3,31/08/2024,Rio de Janeiro,600.0
3448,soundbar,1000.0,"TV, Áudio e Vídeo",1,31/08/2024,Belo Horizonte,1000.0
9218,mouse,100.0,Informática e Periféricos,4,31/08/2024,Porto Alegre,400.0
5582,geladeira,5000.0,Eletrodomésticos,1,31/08/2024,Florianópolis,5000.0
1191,fone de ouvido,200.0,Smartphones e Acessórios,3,31/08/2024,São Paulo,600.0
4625,geladeira,5000.0,Eletrodomésticos,2,31/08/2024,Santos,10000.0
9822,ar-condicionado,2500.0,Eletrodomésticos,5,31/08/2024,Curitiba,12500.0
1766,mouse,100.0,Informática e Periféricos,3,31/07/2025,Campinas,300.0
4950,smart tv,4000.0,"TV, Áudio e Vídeo",4,31/07/2025,Joinville,16000.0
790,smartwatch,1000.0,Smartphones e Acessórios,4,31/07/2025,Belo Horizonte,4000.0
6079,mouse,100.0,Informática e Periféricos,4,31/07/2025,Joinville,400.0
5900,geladeira,5000.0,Eletrodomésticos,2,31/07/2025,São Paulo,10000.0
1189,smartphone,2000.0,Smartphones e Acessórios,2,31/07/2025,São Paulo,4000.0
7199,ar-condicionado,2500.0,Eletrodomésticos,2,31/07/2024,Curitiba,5000.0
7948,ar-condicionado,2500.0,Eletrodomésticos,5,31/07/2024,Porto Alegre,12500.0
2964,fone de ouvido,200.0,Smartphones e Acessórios,4,31/07/2024,Santos,800.0
