"cliente","produto","preco","categoria","quantidade","data"
7132,"smartphone",2000,"Smartphones e Acessórios",4,"2024-07-19"
2588,"fogao",1500,"Eletrodomésticos",2,"2024-08-30"
8982,"teclado","","Informática e Periféricos",1,"2024-07-03"
3927,"chromecast",200,"TV, Áudio e Vídeo",3,"2024-09-25"
9604,"teclado","","Informática e Periféricos",3,"2025-07-19"
1094,"smartphone",2000,"Smartphones e Acessórios",2,"2025-09-26"
3795,"capinha","","Smartphones e Acessórios",3,"2024-06-18"
9488,"smartwatch",1000,"Smartphones e Acessórios",2,"2025-05-15"
6859,"smart tv",4000,"TV, Áudio e Vídeo",4,"2025-09-08"
1703,"ar-condicionado",2500,"Eletrodomésticos",2,"2024-11-02"
3471,"monitor",1500,"Informática e Periféricos",2,"2024-08-21"
52,"chromecast",200,"TV, Áudio e Vídeo",5,"2024-05-26"
2237,"soundbar",1000,"TV, Áudio e Vídeo",5,"2025-05-27"
612,"geladeira",5000,"Eletrodomésticos",3,"2025-02-22"
8615,"mouse",100,"Informática e Periféricos",1,"2024-09-23"
9744,"carregador",100,"Smartphones e Acessórios",1,"2024-06-26"
3796,"fone de ouvido",200,"Smartphones e Acessórios",5,"2025-12-28"
7431,"micro-ondas","","Eletrodomésticos",1,"2025-01-08"
6532,"teclado","","Informática e Periféricos",2,"2025-01-06"
808,"geladeira",5000,"Eletrodomésticos",2,"2025-01-23"
8823,"carregador",100,"Smartphones e Acessórios",4,"2025-04-25"
117,"fone de ouvido",200,"Smartphones e Acessórios",1,"2025-02-21"
3347,"smartphone",2000,"Smartphones e Acessórios",5,"2024-11-08"
1272,"smartphone",2000,"Smartphones e Acessórios",5,"2024-11-18"
2553,"chromecast",200,"TV, Áudio e Vídeo",4,"2025-04-27"
3734,"home theater","","TV, Áudio e Vídeo",3,"2024-05-15"
1550,"smartwatch",1000,"Smartphones e Acessórios",2,"2024-10-26"
1906,"smart tv",4000,"TV, Áudio e Vídeo",2,"2025-04-11"
8900,"teclado","","Informática e Periféricos",1,"2025-01-07"
3815,"micro-ondas","","Eletrodomésticos",4,"2025-12-16"
5351,"capinha","","Smartphones e Acessórios",4,"2025-04-24"
8578,"smart tv",4000,"TV, Áudio e Vídeo",5,"2025-02-21"
2146,"chromecast",200,"TV, Áudio e Vídeo",5,"2025-10-17"
7268,"ar-condicionado",2500,"Eletrodomésticos",2,"2025-07-04"
4386,"home theater","","TV, Áudio e Vídeo",1,"2024-05-24"
8929,"fogao",1500,"Eletrodomésticos",4,"2025-06-08"
1000,"teclado","","Informática e Periféricos",2,"2025-11-01"
1545,"micro-ondas","","Eletrodomésticos",1,"2024-03-08"
3246,"smartphone",2000,"Smartphones e Acessórios",1,"2024-10-24"
