cliente,produto,preco,categoria,quantidade,data,valor_total
7132,smartphone,2000.0,Smartphones e Acessórios,4,19/07/2024,8000.0
2588,fogao,1500.0,Eletrodomésticos,2,30/08/2024,3000.0
3927,chromecast,200.0,"TV, Áudio e Vídeo",3,25/09/2024,600.0
1094,smartphone,2000.0,Smartphones e Acessórios,2,26/09/2025,4000.0
9488,smartwatch,1000.0,Smartphones e Acessórios,2,15/05/2025,2000.0
6859,smart tv,4000.0,"TV, Áudio e Vídeo",4,08/09/2025,16000.0
1703,ar-condicionado,2500.0,Eletrodomésticos,2,02/11/2024,5000.0
3471,monitor,1500.0,Informática e Periféricos,2,21/08/2024,3000.0
52,chromecast,200.0,"TV, Áudio e Vídeo",5,26/05/2024,1000.0
2237,soundbar,1000.0,"TV, Áudio e Vídeo",5,27/05/2025,5000.0
612,geladeira,5000.0,Eletrodomésticos,3,22/02/2025,15000.0
8615,mouse,100.0,Informática e Periféricos,1,23/09/2024,100.0
9744,carregador,100.0,Smartphones e Acessórios,1,26/06/2024,100.0
3796,fone de ouvido,200.0,Smartphones e Acessórios,5,28/12/2025,1000.0
808,geladeira,5000.0,Eletrodomésticos,2,23/01/2025,10000.0
8823,carregador,100.0,Smartphones e Acessórios,4,25/04/2025,400.0
117,fone de ouvido,200.0,Smartphones e Acessórios,1,21/02/2025,200.0
3347,smartphone,2000.0,Smartphones e Acessórios,5,08/11/2024,10000.0
1272,smartphone,2000.0,Smartphones e Acessórios,5,18/11/2024,10000.0
2553,chromecast,200.0,"TV, Áudio e Vídeo",4,27/04/2025,800.0
1550,smartwatch,1000.0,Smartphones e Acessórios,2,26/10/2024,2000.0
1906,smart tv,4000.0,"TV, Áudio e Vídeo",2,11/04/2025,8000.0
8578,smart tv,4000.0,"TV, Áudio e Vídeo",5,21/02/2025,20000.0
2146,chromecast,200.0,"TV, Áudio e Vídeo",5,17/10/2025,1000.0
7268,ar-condicionado,2500.0,Eletrodomésticos,2,04/07/2025,5000.0
8929,fogao,1500.0,Eletrodomésticos,4,08/06/2025,6000.0
3246,smartphone,2000.0,Smartphones e Acessórios,1,24/10/2024,2000.0
4276,chromecast,200.0,"TV, Áudio e Vídeo",4,23/12/2024,800.0
1903,mouse,100.0,Informática e Periféricos,5,01/02/2025,500.0
5780,smart tv,4000.0,"TV, Áudio e Vídeo",1,25/07/2024,4000.0
4650,fogao,1500.0,Eletrodomésticos,5,06/02/2025,7500.0
1480,fone de ouvido,200.0,Smartphones e Acessórios,3,02/03/2025,600.0
9159,smart tv,4000.0,"TV, Áudio e Vídeo",1,22/11/2024,4000.0
9438,mouse,100.0,Informática e Periféricos,4,03/03/2025,400.0
6202,fone de ouvido,200.0,Smartphones e Acessórios,3,12/04/2024,600.0
5280,mouse,100.0,Informática e Periféricos,4,15/06/2025,400.0
786,carregador,100.0,Smartphones e Acessórios,3,10/05/2024,300.0
8412,notebook,4000.0,Informática e Periféricos,5,25/03/2025,20000.0
5483,geladeira,5000.0,Eletrodomésticos,2,15/01/2026,10000.0
5448,carregador,100.0,Smartphones e Acessórios,2,01/10/2025,200.0
2931,smartphone,2000.0,Smartphones e Acessórios,4,22/07/2024,8000.0
8756,fogao,1500.0,Eletrodomésticos,4,25/07/2024,6000.0
5619,notebook,4000.0,Informática e Periféricos,4,03/11/2024,16000.0
5508,chromecast,200.0,"TV, Áudio e Vídeo",2,20/03/2025,400.0
4013,notebook,4000.0,Informática e Periféricos,3,25/01/2025,12000.0
7542,smartwatch,1000.0,Smartphones e Acessórios,4,30/01/2024,4000.0
335,notebook,4000.0,Informática e Periféricos,2,22/06/2025,8000.0
3492,smartwatch,1000.0,Smartphones e Acessórios,5,07/03/2025,5000.0
4806,ar-condicionado,2500.0,Eletrodomésticos,5,01/06/2025,12500.0
5971,chromecast,200.0,"TV, Áudio e Vídeo",5,22/02/2025,1000.0
6938,fone de ouvido,200.0,Smartphones e Acessórios,2,15/06/2024,400.0
1633,fogao,1500.0,Eletrodomésticos,4,05/05/2025,6000.0
9962,fone de ouvido,200.0,Smartphones e Acessórios,2,31/03/2024,400.0
890,fone de ouvido,200.0,Smartphones e Acessórios,5,04/12/2025,1000.0
9774,chromecast,200.0,"TV, Áudio e Vídeo",3,12/02/2024,600.0
4000,carregador,100.0,Smartphones e Acessórios,3,22/05/2025,300.0
4416,geladeira,5000.0,Eletrodomésticos,4,19/09/2024,20000.0
2650,carregador,100.0,Smartphones e Acessórios,1,22/02/2025,100.0
8216,smart tv,4000.0,"TV, Áudio e Vídeo",3,23/10/2024,12000.0
7915,carregador,100.0,Smartphones e Acessórios,1,19/10/2025,100.0
9450,smartphone,2000.0,Smartphones e Acessórios,1,13/05/2024,2000.0
1965,notebook,4000.0,Informática e Periféricos,2,29/12/2024,8000.0
3927,notebook,4000.0,Informática e Periféricos,1,21/08/2025,4000.0
3223,smartphone,2000.0,Smartphones e Acessórios,5,08/12/2025,10000.0
3539,notebook,4000.0,Informática e Periféricos,4,23/04/2025,16000.0
1415,fone de ouvido,200.0,Smartphones e Acessórios,5,14/08/2025,1000.0
5203,chromecast,200.0,"TV, Áudio e Vídeo",2,01/06/2025,400.0
6289,fone de ouvido,200.0,Smartphones e Acessórios,5,29/10/2025,1000.0
505,fogao,1500.0,Eletrodomésticos,3,12/10/2024,4500.0
8116,chromecast,200.0,"TV, Áudio e Vídeo",3,27/08/2025,600.0
9842,chromecast,200.0,"TV, Áudio e Vídeo",2,20/08/2024,400.0
986,mouse,100.0,Informática e Periféricos,1,22/06/2024,100.0
4495,smart tv,4000.0,"TV, Áudio e Vídeo",2,18/04/2024,8000.0
4124,monitor,1500.0,Informática e Periféricos,3,11/10/2025,4500.0
3738,notebook,4000.0,Informática e Periféricos,2,09/04/2024,8000.0
5417,soundbar,1000.0,"TV, Áudio e Vídeo",4,22/01/2025,4000.0
9753,mouse,100.0,Informática e Periféricos,4,06/03/2024,400.0
4324,mouse,100.0,Informática e Periféricos,4,15/09/2025,400.0
4435,fone de ouvido,200.0,Smartphones e Acessórios,1,11/04/2025,200.0
132,chromecast,200.0,"TV, Áudio e Vídeo",1,11/08/2025,200.0
2105,smartphone,2000.0,Smartphones e Acessórios,2,28/07/2024,4000.0
5341,mouse,100.0,Informática e Periféricos,1,28/07/2025,100.0
3723,fogao,1500.0,Eletrodomésticos,4,14/11/2024,6000.0
1441,fone de ouvido,200.0,Smartphones e Acessórios,5,29/07/2025,1000.0
3204,smartphone,2000.0,Smartphones e Acessórios,5,22/09/2024,10000.0
1182,smart tv,4000.0,"TV, Áudio e Vídeo",3,18/11/2025,12000.0
1739,ar-condicionado,2500.0,Eletrodomésticos,2,28/03/2024,5000.0
7309,smartwatch,1000.0,Smartphones e Acessórios,2,07/11/2025,2000.0
2912,ar-condicionado,2500.0,Eletrodomésticos,5,28/01/2025,12500.0
1048,smart tv,4000.0,"TV, Áudio e Vídeo",5,21/01/2025,20000.0
4567,smartwatch,1000.0,Smartphones e Acessórios,1,11/12/2025,1000.0
6528,smartwatch,1000.0,Smartphones e Acessórios,1,10/04/2025,1000.0
1289,mouse,100.0,Informática e Periféricos,4,03/07/2024,400.0
9559,geladeira,5000.0,Eletrodomésticos,5,01/08/2025,25000.0
4761,geladeira,5000.0,Eletrodomésticos,2,09/12/2025,10000.0
362,notebook,4000.0,Informática e Periféricos,5,03/07/2024,20000.0
308,ar-condicionado,2500.0,Eletrodomésticos,5,30/03/2025,12500.0
5969,geladeira,5000.0,Eletrodomésticos,2,05/09/2025,10000.0
8872,smartwatch,1000.0,Smartphones e Acessórios,4,05/04/2024,4000.0
7259,smart tv,4000.0,"TV, Áudio e Vídeo",3,27/05/2025,12000.0
874,ar-condicionado,2500.0,Eletrodomésticos,5,21/12/2025,12500.0
6464,ar-condicionado,2500.0,Eletrodomésticos,3,15/03/2024,7500.0
608,carregador,100.0,Smartphones e Acessórios,3,06/09/2024,300.0
7909,mouse,100.0,Informática e Periféricos,4,24/03/2024,400.0
8288,soundbar,1000.0,"TV, Áudio e Vídeo",2,05/05/2025,2000.0
